StockName,Date,Open,High,Low,Close,Volume
Titan,10/17/2022 15:30:00,2613.9,2634.9,2602.55,2625,1111199
Titan,10/18/2022 15:30:00,2638.15,2664.7,2623.15,2641.1,771852
Titan,10/19/2022 15:30:00,2654.35,2677,2640,2644.55,1001916
Titan,10/20/2022 15:30:00,2640,2644,2581.35,2631.5,1022636
Titan,10/21/2022 15:30:00,2650,2679.65,2640.05,2665.65,986521
Titan,10/25/2022 15:30:00,2697.35,2697.35,2662,2670.3,505759
Titan,10/27/2022 15:30:00,2700,2765,2680,2703.8,2117791
Titan,10/28/2022 15:30:00,2708.95,2738.9,2693.25,2736.4,1003160
Titan,10/31/2022 15:30:00,2750,2791,2738.25,2761.5,1144647
Titan,11/1/2022 15:30:00,2770.15,2784,2741,2754.95,890107
Titan,11/2/2022 15:30:00,2745,2747.35,2703,2728.45,1704942
Titan,11/3/2022 15:30:00,2705,2779,2705,2763.65,1227960
Titan,11/4/2022 15:30:00,2774.9,2781.45,2746.6,2769.7,1172058
Titan,11/7/2022 15:30:00,2772,2772,2706.3,2741.55,1825529
Titan,11/9/2022 15:30:00,2769,2769,2710,2718.1,1184702
Titan,11/10/2022 15:30:00,2710,2711.1,2628,2641,1198585
Titan,11/11/2022 15:30:00,2671,2694.4,2641.55,2651.8,833729
Titan,11/14/2022 15:30:00,2658,2665,2623.2,2629.8,565428
Titan,11/15/2022 15:30:00,2642.95,2669.15,2621.05,2656.65,1033296
Titan,11/16/2022 15:30:00,2659,2678.2,2630,2644.3,835064
Titan,11/17/2022 15:30:00,2638,2645,2576,2582,1265647
Titan,11/18/2022 15:30:00,2580,2583.4,2545,2565.8,1038751
Titan,11/21/2022 15:30:00,2552,2578.95,2539.65,2573.35,629040
Titan,11/22/2022 15:30:00,2580,2609,2561,2606.2,912070
Titan,11/23/2022 15:30:00,2614.95,2632.5,2590.8,2601.75,992873
Titan,11/24/2022 15:30:00,2611,2618.3,2592.5,2610.2,752066
Titan,11/25/2022 15:30:00,2620,2620,2586,2595.4,633047
Titan,11/28/2022 15:30:00,2584.4,2608.5,2579,2592.25,665149
